
Song:
	samples = 2838528
	channels = 2
	totalsamples = 5677056
	samples per point = 3032
	meterScale = 200
	tolerance = 1
	quantize bpm = 243 thru 480

Points:1873

	idx       time                val                 startsample         endsample           delta               actualbpm           bpm                 
	--------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- 
	278           10.6                 1.3            842896              845927                                                                          
	279           10.6                 1.8            845928              848959                                                                          
	280           10.6                 1.2            848960              851991                                                                          
	281           10.7                 1.2            851992              855023                                                                          
	282           10.7                 1.8            855024              858055                                                                          
	283           10.7                 0.0            858056              861087                                                                          
	284           10.8                 2.1            861088              864119                                                                          
	285           10.8                 3.7            864120              867151                                                                          
	286           10.8                 2.7            867152              870183                                                                          
	287           10.9                 1.8            870184              873215                                                                          
	288           10.9                 0.4            873216              876247                                                                          
	289           10.9                 2.6            876248              879279                                                                          
	290           101.0                2.1            879280              882311                                                                          
	291           10.0                 21.0           882312              885343                                                                          
	292           10.0                 2.6            885344              888375                                                                          
	293           10.1                 0.1            888376              891407                                                                          
